320424610,,,,,,,,,91646,,,,,,,,,,,8589,,,,,
320429310,,,,,,,,,89561,,,,,,,,,,,,,,,,
320437210,,,,,,,,,98402,,,,,,,,,,,22634,,,,,
320461210,,,,,,,,,96509,,,,,,,,,,,40834,,,,,
320624510,,,,,,,,,,,,,,,,,,,,34226,,,,,69452
320691110,,,,,,,,,,,,,,,,,,,,44612,,,,,71500
320724510,13198,,,,,,,,96425,12024,,,,,,,,,,9252,,,,,
320724610,17061,,,,,,,,94538,16478,,,,,,,,,,14102,,,,,
320737210,38229,,,,,,,,26851,45881,,,,,,,,,,34843,,,,,
320760210,46995,,,,,,,,86750,34162,,,,,,,,,,,,,,,
320761210,66649,,,,,,,,92774,70278,,,,,,,,,,52408,,,,,
320790010,35730,,,,,,,,69945,49228,,,,,,,,,,34286,,,,,
320824510,,,,,,,,,49011,,,,,,,,,,,4964,,,,,
320824610,,,,,,,,,98943,,,,,,,,,,,7929,,,,,
320837210,,,,,,,,,39796,,,,,,,,,,,26046,,,,,
320861210,,,,,,,,,63586,,,,,,,,,,,,,,,,
320924510,4022,,,,,,,,19850,4381,,,,,,,,,,3105,,,,,
320924610,5321,,,,,,,,26036,6341,,,,,,,,,,3347,,,,,
320937210,11492,,,,,,,,90994,14546,,,,,,,,,,7512,,,,,
320999510,6468,,,,,,,,35752,9692,,,,,,,,,,5719,,,,,
321024510,,,,,,,,,81812,,,,,,,,,,,21456,,,,,
321024610,,,,,,,,,72691,,,,,,,,,,,21843,,,,,
321037210,,,,,,,,,78262,,,,,,,,,,,46950,,,,,
321124510,,,,,,,,,97090,,,,,,,,,,,7563,,,,,
321124610,,,,,,,,,,,,,,,,,,,,8870,,,,,
321137210,,,,,,,,,33683,,,,,,,,,,,30045,,,,,
321161210,,,,,,,,,67667,,,,,,,,,,,,,,,,
321190010,,,,,,,,,46058,,,,,,,,,,,34601,,,,,
321192010,,,,,,,,,79622,,,,,,,,,,,22796,,,,,
321192110,,,,,,,,,95719,,,,,,,,,,,16858,,,,,
321199510,,,,,,,,,67916,,,,,,,,,,,13098,,,,,
321424510,,,,,,,,,75323,,,,,,,,,,,6247,,,,,
321424610,,,,,,,,,94785,,,,,,,,,,,10402,,,,,
321437210,,,,,,,,,15262,,,,,,,,,,,23335,,,,,
321524510,358,3758,15765,3581,1096,1580,1189,938,,717,7373,24952,7245,4638,3271,,1696,9888,3662,323,45193,,,,
321537210,1646,9943,53965,5838,4896,6299,4507,3116,,3128,14184,52426,18205,7630,7321,,4913,56277,7844,2190,,23240,,,3913
